Class ID,Frequency,Percentage (%),Images per Class,Mean Box Area,Median Box Area,Box Count
0,41,15.185185185185185,41,0.5024373124285442,0.49921875,41
1,14,5.185185185185185,14,0.7639679827008928,0.7515478515625,14
2,8,2.962962962962963,8,0.65340576171875,0.64697265625,8
3,8,2.962962962962963,8,0.6876547241210937,0.6835546875,8
4,6,2.2222222222222223,6,0.6574391682942708,0.6544970703125,6
5,6,2.2222222222222223,6,0.8021036783854166,0.801796875,6
6,17,6.296296296296297,17,0.6055372170840992,0.67872314453125,17
7,23,8.518518518518519,23,0.7078770645805028,0.71903564453125,23
8,15,5.555555555555555,15,0.7149095052083335,0.7171875,15
9,19,7.037037037037037,19,0.7826658871299343,0.7609375,19
10,27,10.0,26,0.6209083839699074,0.648984375,27
11,30,11.11111111111111,30,0.6886311442057292,0.6577105712890625,30
12,8,2.962962962962963,8,0.7323503875732422,0.7515869140625,8
13,10,3.7037037037037037,10,0.7611282958984376,0.746240234375,10
14,6,2.2222222222222223,6,0.6958652750651041,0.7000958251953124,6
15,21,7.777777777777778,21,0.6776468331473215,0.6828124999999999,21
16,11,4.074074074074074,11,0.6751458185369318,0.671875,11
